장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
Sa Calobra,Sa Calobra 스페인/포르투갈,자연 및 공원,해변,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Sa%20Calobra,2026 스페인 포르토 여행
Cala Ferrera,Cala Ferrera 스페인/포르투갈,자연 및 공원,"Cala Ferrera
Balearic Islands
스페인",스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cala%20Ferrera,2026 스페인 포르토 여행
Cala Mendia,Cala Mendia 스페인/포르투갈,자연 및 공원,만/포구,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cala%20Mendia,2026 스페인 포르토 여행
Caló del Moro,Caló del Moro 스페인/포르투갈,자연 및 공원,해변,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cal%C3%B3%20del%20Moro,2026 스페인 포르토 여행
수정궁 정원,수정궁 정원 스페인/포르투갈,자연 및 공원,정원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%88%98%EC%A0%95%EA%B6%81%20%EC%A0%95%EC%9B%90,2026 스페인 포르토 여행
모루 정원,모루 정원 스페인/포르투갈,자연 및 공원,정원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%AA%A8%EB%A3%A8%20%EC%A0%95%EC%9B%90,2026 스페인 포르토 여행
레티로 공원,레티로 공원 스페인/포르투갈,자연 및 공원,공원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A0%88%ED%8B%B0%EB%A1%9C%20%EA%B3%B5%EC%9B%90,2026 스페인 포르토 여행
구엘 공원,구엘 공원 스페인/포르투갈,자연 및 공원,공원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EA%B5%AC%EC%97%98%20%EA%B3%B5%EC%9B%90,2026 스페인 포르토 여행
마드리드 왕립식물원,마드리드 왕립식물원 스페인/포르투갈,자연 및 공원,식물원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C%20%EC%99%95%EB%A6%BD%EC%8B%9D%EB%AC%BC%EC%9B%90,2026 스페인 포르토 여행
예류지질공원,예류지질공원 대만,자연 및 공원,자연보호구역,대만,https://www.google.com/maps/search/?api=1&query=%EC%98%88%EB%A5%98%EC%A7%80%EC%A7%88%EA%B3%B5%EC%9B%90,2026 대만
타이베이 시립 동물원,타이베이 시립 동물원 대만,자연 및 공원,동물원,대만,https://www.google.com/maps/search/?api=1&query=%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4%20%EC%8B%9C%EB%A6%BD%20%EB%8F%99%EB%AC%BC%EC%9B%90,2026 대만
라쿠스이엔 (楽水園),라쿠스이엔 일본 후쿠오카,자연 및 공원,일본식 전통 정원 / 다도 체험,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%9D%BC%EC%BF%A0%EC%8A%A4%EC%9D%B4%EC%97%94%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
